dataset,sample,reference,primary_clock,secondary_clock,error_us
usb-sof-rt-r1,1,670,1084568588,7305075522,-0.447895
usb-sof-rt-r1,2,672,1084592589,7305203523,-0.465296
usb-sof-rt-r1,3,674,1084616590,7305331524,-0.482697
usb-sof-rt-r1,4,676,1084640590,7305459523,-0.448017
usb-sof-rt-r1,5,678,1084664591,7305587524,-0.465418
usb-sof-rt-r1,6,679,1084676591,7305651524,-0.440265
usb-sof-rt-r1,7,680,1084688592,7305715524,-0.498444
usb-sof-rt-r1,8,681,1084700592,7305779524,-0.473291
usb-sof-rt-r1,9,682,1084712592,7305843526,-0.416889
usb-sof-rt-r1,10,683,1084724593,7305907526,-0.475067
usb-sof-rt-r1,11,684,1084736593,7305971524,-0.481165
usb-sof-rt-r1,12,686,1084760594,7306099526,-0.482941
usb-sof-rt-r1,13,687,1084772594,7306163526,-0.457788
usb-sof-rt-r1,14,688,1084784594,7306227526,-0.432636
usb-sof-rt-r1,15,689,1084796595,7306291526,-0.490814
usb-sof-rt-r1,16,690,1084808595,7306355527,-0.450037
usb-sof-rt-r1,17,692,1084832596,7306483526,-0.498688
usb-sof-rt-r1,18,694,1084856596,7306611527,-0.432758
usb-sof-rt-r1,19,695,1084868597,7306675528,-0.475311
usb-sof-rt-r1,20,697,1084892597,7306803527,-0.440631
usb-sof-rt-r1,21,699,1084916598,7306931528,-0.458032
usb-sof-rt-r1,22,701,1084940599,7307059528,-0.491058
usb-sof-rt-r1,23,703,1084964600,7307187534,-0.430334
usb-sof-rt-r1,24,705,1084988600,7307315530,-0.442529
usb-sof-rt-r1,25,706,1085000600,7307379528,-0.448626
usb-sof-rt-r1,26,707,1085012601,7307443530,-0.475555
usb-sof-rt-r1,27,709,1085036601,7307571531,-0.409625
usb-sof-rt-r1,28,711,1085060602,7307699530,-0.458276
usb-sof-rt-r1,29,713,1085084603,7307827531,-0.475677
usb-sof-rt-r1,30,715,1085108603,7307955531,-0.425372
usb-sof-rt-r1,31,717,1085132604,7308083532,-0.442773
usb-sof-rt-r1,32,719,1085156605,7308211531,-0.491424
usb-sof-rt-r1,33,721,1085180605,7308339532,-0.425494
usb-sof-rt-r1,34,722,1085192606,7308403532,-0.483672
usb-sof-rt-r1,35,723,1085204606,7308467532,-0.458520
usb-sof-rt-r1,36,724,1085216607,7308531534,-0.485448
usb-sof-rt-r1,37,725,1085228607,7308595534,-0.460296
usb-sof-rt-r1,38,726,1085240607,7308659532,-0.466393
usb-sof-rt-r1,39,727,1085252608,7308723534,-0.493322
usb-sof-rt-r1,40,728,1085264608,7308787534,-0.468169
usb-sof-rt-r1,41,729,1085276608,7308851535,-0.427392
usb-sof-rt-r1,42,730,1085288609,7308915534,-0.501195
usb-sof-rt-r1,43,731,1085300609,7308979534,-0.476043
usb-sof-rt-r1,44,732,1085312609,7309043535,-0.435265
usb-sof-rt-r1,45,734,1085336610,7309171535,-0.468291
usb-sof-rt-r1,46,735,1085348611,7309235540,-0.448345
usb-sof-rt-r1,47,736,1085360611,7309299535,-0.501317
usb-sof-rt-r1,48,737,1085372611,7309363535,-0.476165
usb-sof-rt-r1,49,738,1085384611,7309427536,-0.435387
usb-sof-rt-r1,50,739,1085396612,7309491536,-0.493566
sof-discipline-rt-r1,1,1,491272724,4012042089,-0.500000
sof-discipline-rt-r1,2,2,494297080,4028171582,-0.468750
sof-discipline-rt-r1,3,3,497323395,4044311523,-0.437500
sof-discipline-rt-r1,4,4,500354194,4060475378,-0.421875
sof-discipline-rt-r1,5,5,503375229,4076587160,-0.390625
sof-discipline-rt-r1,6,6,506400862,4092723464,-0.375000
sof-discipline-rt-r1,7,7,509425803,4108856077,-0.343750
sof-discipline-rt-r1,8,8,512463981,4125059286,-0.312500
sof-discipline-rt-r1,9,9,515495866,4141228933,-0.296875
sof-discipline-rt-r1,10,10,518527979,4157399796,-0.281250
sof-discipline-rt-r1,11,11,521554205,4173539262,-0.265625
sof-discipline-rt-r1,12,12,524588477,4189721640,-0.234375
sof-discipline-rt-r1,13,13,527623500,4205908022,-0.218750
sof-discipline-rt-r1,14,14,530653002,4222064960,-0.203125
sof-discipline-rt-r1,15,15,533675686,4238185536,-0.187500
sof-discipline-rt-r1,16,16,536695577,4254291217,-0.171875
sof-discipline-rt-r1,17,17,539730245,4270475706,-0.156250
sof-discipline-rt-r1,18,18,542766626,4286669332,-0.125000
sof-discipline-rt-r1,19,19,545800781,7883789,-0.109375
sof-discipline-rt-r1,20,20,548826367,24019842,-0.093750
sof-discipline-rt-r1,21,21,551855498,40174802,-0.062500
sof-discipline-rt-r1,22,22,554886741,56341025,-0.046875
sof-discipline-rt-r1,23,23,557925506,72547364,-0.031250
sof-discipline-rt-r1,24,24,560954175,88699860,-0.015625
sof-discipline-rt-r1,25,25,563985296,104865432,0.000000
sof-discipline-rt-r1,26,26,567022053,121061063,0.015625
sof-discipline-rt-r1,27,27,570045805,137187335,0.031250
sof-discipline-rt-r1,28,28,573078827,153363046,0.046875
sof-discipline-rt-r1,29,29,576106638,169510965,0.046875
sof-discipline-rt-r1,30,30,579134972,185661675,0.078125
sof-discipline-rt-r1,31,31,582165905,201826244,0.078125
sof-discipline-rt-r1,32,32,585197210,217992798,0.093750
sof-discipline-rt-r1,33,33,588224647,234138723,0.109375
sof-discipline-rt-r1,34,34,591244806,250245833,0.125000
sof-discipline-rt-r1,35,35,594278506,266425160,0.140625
sof-discipline-rt-r1,36,36,597310211,282593847,0.156250
sof-discipline-rt-r1,37,37,600339962,298752114,0.187500
sof-discipline-rt-r1,38,38,603370682,314915547,0.187500
sof-discipline-rt-r1,39,39,606404137,331093568,0.218750
sof-discipline-rt-r1,40,40,609442195,347296137,0.218750
sof-discipline-rt-r1,41,41,612466395,363424798,0.234375
sof-discipline-rt-r1,42,42,615490650,379553753,0.234375
sof-discipline-rt-r1,43,43,618512051,395667487,0.250000
sof-discipline-rt-r1,44,44,621542879,411831497,0.265625
sof-discipline-rt-r1,45,45,624563783,427942580,0.265625
sof-discipline-rt-r1,46,46,627596987,444119262,0.296875
sof-discipline-rt-r1,47,47,630622432,460254563,0.296875
sof-discipline-rt-r1,48,48,633665559,476484166,0.312500
sof-discipline-rt-r1,49,49,636689539,492611655,0.328125
sof-discipline-rt-r1,50,50,639713142,508737132,0.328125
sof-discipline-rt-r2,1,1,870020941,1737014563,0.546875
sof-discipline-rt-r2,2,2,873048567,1753161497,0.562500
sof-discipline-rt-r2,3,3,876073635,1769294788,0.562500
sof-discipline-rt-r2,4,4,879108706,1785481428,0.578125
sof-discipline-rt-r2,5,5,882131680,1801603551,0.578125
sof-discipline-rt-r2,6,6,885157832,1817742624,0.578125
sof-discipline-rt-r2,7,7,888183498,1833879104,0.578125
sof-discipline-rt-r2,8,8,891210140,1850020790,0.562500
sof-discipline-rt-r2,9,9,894232646,1866140418,0.578125
sof-discipline-rt-r2,10,10,897260877,1882290578,0.578125
sof-discipline-rt-r2,11,11,900296338,1898479297,0.562500
sof-discipline-rt-r2,12,12,903328966,1914652908,0.578125
sof-discipline-rt-r2,13,13,906366984,1930855264,0.562500
sof-discipline-rt-r2,14,14,909396300,1947011210,0.562500
sof-discipline-rt-r2,15,15,912430502,1963193215,0.562500
sof-discipline-rt-r2,16,16,915465797,1979381049,0.562500
sof-discipline-rt-r2,17,17,918497667,1995550617,0.562500
sof-discipline-rt-r2,18,18,921521647,2011678106,0.562500
sof-discipline-rt-r2,19,19,924557291,2027867801,0.562500
sof-discipline-rt-r2,20,20,927590319,2044043545,0.562500
sof-discipline-rt-r2,21,21,930623670,2060221011,0.562500
sof-discipline-rt-r2,22,22,933653709,2076380814,0.562500
sof-discipline-rt-r2,23,23,936685340,2092549107,0.562500
sof-discipline-rt-r2,24,24,939716321,2108713934,0.562500
sof-discipline-rt-r2,25,25,942748797,2124886733,0.562500
sof-discipline-rt-r2,26,26,945793402,2141124219,0.562500
sof-discipline-rt-r2,27,27,948816313,2157246007,0.562500
sof-discipline-rt-r2,28,28,951845202,2173399676,0.562500
sof-discipline-rt-r2,29,29,954875356,2189560093,0.578125
sof-discipline-rt-r2,30,30,957906159,2205723970,0.578125
sof-discipline-rt-r2,31,31,960933058,2221867026,0.578125
sof-discipline-rt-r2,32,32,963966350,2238044178,0.578125
sof-discipline-rt-r2,33,33,966996969,2254207074,0.578125
sof-discipline-rt-r2,34,34,970020571,2270332547,0.578125
sof-discipline-rt-r2,35,35,973045628,2286465780,0.593750
sof-discipline-rt-r2,36,36,976079994,2302648659,0.578125
sof-discipline-rt-r2,37,37,979102234,2318766869,0.593750
sof-discipline-rt-r2,38,38,982139383,2334964590,0.593750
sof-discipline-rt-r2,39,39,985166907,2351110980,0.593750
sof-discipline-rt-r2,40,40,988191591,2367242224,0.593750
sof-discipline-rt-r2,41,41,991225749,2383423994,0.593750
sof-discipline-rt-r2,42,42,994250112,2399553525,0.593750
sof-discipline-rt-r2,43,43,997281903,2415722672,0.593750
sof-discipline-rt-r2,44,44,1000309618,2431870081,0.609375
sof-discipline-rt-r2,45,45,1003343732,2448051616,0.593750
sof-discipline-rt-r2,46,46,1006371290,2464198187,0.593750
sof-discipline-rt-r2,47,47,1009408421,2480395813,0.593750
sof-discipline-rt-r2,48,48,1012432293,2496522726,0.593750
sof-discipline-rt-r2,49,49,1015457032,2512654263,0.609375
sof-discipline-rt-r2,50,50,1018486369,2528810322,0.609375
